Accession	Protein names	Gene names
A0A087WPF7	Autism susceptibility gene 2 protein homolog	Auts2
A0A087WPF7-2	Isoform 2 of Autism susceptibility gene 2 protein homolog	Auts2
A0A087WPF7-3	Isoform 3 of Autism susceptibility gene 2 protein homolog	Auts2
A0A088MLT8	IQCJ-SCHIP1 readthrough transcript protein	Iqcj-Schip1
A0A088MLT8-2	Isoform Iqcj-schip1-2 of IQCJ-SCHIP1 readthrough transcript protein	Iqcj-Schip1
A0A0A6YXX9	Cation channel sperm-associated protein subunit epsilon-like protein	Catspere2
A0A0A6YXX9-2	Isoform 2 of Cation channel sperm-associated protein subunit epsilon-like protein	Catspere2
A0A0A6YY25	BTB/POZ domain-containing protein 18	Btbd18
A0A0B4J1F4	Arrestin domain-containing protein 4	Arrdc4
A0A0B4J1F4-2	Isoform 2 of Arrestin domain-containing protein 4	Arrdc4
A0A0B4J1G0	Low affinity immunoglobulin gamma Fc region receptor III-A	Fcgr4
A0A0B4J1L0	Carcinoembryonic antigen-related cell adhesion molecule 15	Ceacam15
A0A0B4J1N3	Protein GPR15L	Gpr15l
A0A0G2JDV3	Guanylate-binding protein 6	Gbp6
A0A0G2JEB6	Cilia and flagella-associated protein 47	Cfap47
A0A0M3U1B0	Synaptonemal complex protein 2-like	Sycp2l
A0A0U1RPR8	Guanylate cyclase D	Gucy2d
A0A0U1RQ45	Transmembrane protein 275	Tmem275
A0A140LHF2	V-set and immunoglobulin domain-containing protein 10-like 2	Vsig10l2
A0A140LHV9	Small integral membrane protein 27	Smim27
A0A140LI88	Ankyrin repeat domain-containing protein 31	Ankrd31
A0A140LIA7	Uncharacterized protein C20orf204 homolog	Gm29797
A0A140LIT1	Coiled-coil domain-containing protein 194	Ccdc194
A0A1B0GQX2	Protein TUNAR	Tunar
A0A1B0GQX3	Cortexin domain containing 2	Ctxnd2
A0A1B0GRQ0	Small integral membrane protein 36	SMIM36
A0A1B0GSN8	Serine-rich and transmembrane domain-containing 2	SERTM2
A0A1B0GST9	Cortexin domain-containing 1	Ctxnd1
